Départ;Arrivée;Voyageur;Profil / carte;Identifiant profil;Clé relation;Prix 2de (€);Prix 1re (€);Source;Date de vérification;Statut;Écart vs valeur actuelle
Lyon Part-Dieu;Ambérieu-en-Bugey;Adulte;Carte Liberté SNCF (-25 %);adult-liberte-nationale;lyon-part-dieu|amberieu-en-bugey;9,30;14,10;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Ambérieu-en-Bugey;Adulte;Carte Familles Nombreuses (-30 %);adult-famille-nombreuse-30;lyon-part-dieu|amberieu-en-bugey;7,10;12,10;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Ambérieu-en-Bugey;Adulte;Carte Familles Nombreuses (-40 %);adult-famille-nombreuse-40;lyon-part-dieu|amberieu-en-bugey;6,10;11,10;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Ambérieu-en-Bugey;Adulte;Carte Familles Nombreuses (-50 %);adult-famille-nombreuse-50;lyon-part-dieu|amberieu-en-bugey;5,10;10,10;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Ambérieu-en-Bugey;Adulte;Carte Familles Nombreuses (-75 %);adult-famille-nombreuse-75;lyon-part-dieu|amberieu-en-bugey;2,60;7,60;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Ambérieu-en-Bugey;Adulte;Carte Militaire (-75 %);adult-military;lyon-part-dieu|amberieu-en-bugey;3,10;4,70;TER Auvergne-Rhône-Alpes;2026-09-02;lu directement;"écart (ancienne 2de 2,60 ; ancienne 1re 7,60)"
Lyon Part-Dieu;Ambérieu-en-Bugey;Adulte;Carte Famille Militaire (-40 %);adult-family-military;lyon-part-dieu|amberieu-en-bugey;7,50;11,30;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Ambérieu-en-Bugey;Enfant;Aucune — Tarif Enfant 4–11 ans;child-none;lyon-part-dieu|amberieu-en-bugey;6,20;9,40;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Ambérieu-en-Bugey;Enfant;illico LIBERTÉ — Accompagnant, Week-end / Jour férié;child-illico-liberte-weekend-companion;lyon-part-dieu|amberieu-en-bugey;3,10;4,70;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Ambérieu-en-Bugey;Enfant;Carte Famille Militaire;child-family-military;lyon-part-dieu|amberieu-en-bugey;3,80;5,70;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Ambérieu-en-Bugey;Enfant;Carte Familles Nombreuses (-30 %);child-famille-nombreuse-30;lyon-part-dieu|amberieu-en-bugey;3,60;6,10;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Ambérieu-en-Bugey;Enfant;Carte Familles Nombreuses (-40 %);child-famille-nombreuse-40;lyon-part-dieu|amberieu-en-bugey;3,10;5,60;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Ambérieu-en-Bugey;Enfant;Carte Familles Nombreuses (-50 %);child-famille-nombreuse-50;lyon-part-dieu|amberieu-en-bugey;2,60;5,10;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Ambérieu-en-Bugey;Enfant;Carte Familles Nombreuses (-75 %);child-famille-nombreuse-75;lyon-part-dieu|amberieu-en-bugey;1,30;3,80;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Tenay-Hauteville;Adulte;Aucune — Plein tarif;adult-none;lyon-part-dieu|tenay-hauteville;16,30;24,80;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Tenay-Hauteville;Adulte;illico LIBERTÉ — Semaine (-25 %);adult-illico-liberte-weekday;lyon-part-dieu|tenay-hauteville;12,30;18,60;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Tenay-Hauteville;Adulte;illico LIBERTÉ — Week-end / Jour férié (-50 %);adult-illico-liberte-weekend;lyon-part-dieu|tenay-hauteville;8,20;12,40;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Tenay-Hauteville;Adulte;illico LIBERTÉ — Accompagnant, Week-end / Jour férié (-50 %);adult-illico-liberte-weekend-companion;lyon-part-dieu|tenay-hauteville;8,20;12,40;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Tenay-Hauteville;Adulte;illico LIBERTÉ JEUNES (-50 %);adult-illico-jeunes;lyon-part-dieu|tenay-hauteville;8,20;12,40;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Tenay-Hauteville;Adulte;Carte Liberté SNCF (-25 %);adult-liberte-nationale;lyon-part-dieu|tenay-hauteville;12,30;18,60;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Tenay-Hauteville;Adulte;Carte Familles Nombreuses (-30 %);adult-famille-nombreuse-30;lyon-part-dieu|tenay-hauteville;9,30;15,90;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Tenay-Hauteville;Adulte;Carte Familles Nombreuses (-40 %);adult-famille-nombreuse-40;lyon-part-dieu|tenay-hauteville;8,00;14,60;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Tenay-Hauteville;Adulte;Carte Familles Nombreuses (-50 %);adult-famille-nombreuse-50;lyon-part-dieu|tenay-hauteville;6,60;13,20;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Tenay-Hauteville;Adulte;Carte Familles Nombreuses (-75 %);adult-famille-nombreuse-75;lyon-part-dieu|tenay-hauteville;3,30;9,90;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Tenay-Hauteville;Adulte;Carte Militaire (-75 %);adult-military;lyon-part-dieu|tenay-hauteville;4,10;6,20;TER Auvergne-Rhône-Alpes;2026-09-02;lu directement;"écart (ancienne 2de 3,30 ; ancienne 1re 9,90)"
Lyon Part-Dieu;Tenay-Hauteville;Adulte;Carte Famille Militaire (-40 %);adult-family-military;lyon-part-dieu|tenay-hauteville;9,80;14,90;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Tenay-Hauteville;Enfant;Aucune — Tarif Enfant 4–11 ans;child-none;lyon-part-dieu|tenay-hauteville;8,20;12,40;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Tenay-Hauteville;Enfant;illico LIBERTÉ — Accompagnant, Week-end / Jour férié;child-illico-liberte-weekend-companion;lyon-part-dieu|tenay-hauteville;4,10;6,20;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Tenay-Hauteville;Enfant;Carte Famille Militaire;child-family-military;lyon-part-dieu|tenay-hauteville;4,90;7,50;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Tenay-Hauteville;Enfant;Carte Familles Nombreuses (-30 %);child-famille-nombreuse-30;lyon-part-dieu|tenay-hauteville;4,70;8,00;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Tenay-Hauteville;Enfant;Carte Familles Nombreuses (-40 %);child-famille-nombreuse-40;lyon-part-dieu|tenay-hauteville;4,00;7,30;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Tenay-Hauteville;Enfant;Carte Familles Nombreuses (-50 %);child-famille-nombreuse-50;lyon-part-dieu|tenay-hauteville;3,30;6,60;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Tenay-Hauteville;Enfant;Carte Familles Nombreuses (-75 %);child-famille-nombreuse-75;lyon-part-dieu|tenay-hauteville;1,70;5,00;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Virieu-le-Grand – Belley;Adulte;Aucune — Plein tarif;adult-none;lyon-part-dieu|virieu-le-grand-belley;20,20;30,70;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Virieu-le-Grand – Belley;Adulte;illico LIBERTÉ — Semaine (-25 %);adult-illico-liberte-weekday;lyon-part-dieu|virieu-le-grand-belley;15,20;23,10;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Virieu-le-Grand – Belley;Adulte;illico LIBERTÉ — Week-end / Jour férié (-50 %);adult-illico-liberte-weekend;lyon-part-dieu|virieu-le-grand-belley;10,10;15,40;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Virieu-le-Grand – Belley;Adulte;illico LIBERTÉ — Accompagnant, Week-end / Jour férié (-50 %);adult-illico-liberte-weekend-companion;lyon-part-dieu|virieu-le-grand-belley;10,10;15,40;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Virieu-le-Grand – Belley;Adulte;illico LIBERTÉ JEUNES (-50 %);adult-illico-jeunes;lyon-part-dieu|virieu-le-grand-belley;10,10;15,40;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Virieu-le-Grand – Belley;Adulte;Carte Liberté SNCF (-25 %);adult-liberte-nationale;lyon-part-dieu|virieu-le-grand-belley;15,20;23,10;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Virieu-le-Grand – Belley;Adulte;Carte Familles Nombreuses (-30 %);adult-famille-nombreuse-30;lyon-part-dieu|virieu-le-grand-belley;11,50;19,70;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Virieu-le-Grand – Belley;Adulte;Carte Familles Nombreuses (-40 %);adult-famille-nombreuse-40;lyon-part-dieu|virieu-le-grand-belley;9,80;18,00;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Virieu-le-Grand – Belley;Adulte;Carte Familles Nombreuses (-50 %);adult-famille-nombreuse-50;lyon-part-dieu|virieu-le-grand-belley;8,20;16,40;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Virieu-le-Grand – Belley;Adulte;Carte Familles Nombreuses (-75 %);adult-famille-nombreuse-75;lyon-part-dieu|virieu-le-grand-belley;4,10;12,30;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Virieu-le-Grand – Belley;Adulte;Carte Militaire (-75 %);adult-military;lyon-part-dieu|virieu-le-grand-belley;5,10;7,70;TER Auvergne-Rhône-Alpes;2026-09-02;lu directement;"écart (ancienne 2de 4,10 ; ancienne 1re 12,30)"
Lyon Part-Dieu;Virieu-le-Grand – Belley;Adulte;Carte Famille Militaire (-40 %);adult-family-military;lyon-part-dieu|virieu-le-grand-belley;12,20;18,50;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Virieu-le-Grand – Belley;Enfant;Aucune — Tarif Enfant 4–11 ans;child-none;lyon-part-dieu|virieu-le-grand-belley;10,10;15,40;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Virieu-le-Grand – Belley;Enfant;illico LIBERTÉ — Accompagnant, Week-end / Jour férié;child-illico-liberte-weekend-companion;lyon-part-dieu|virieu-le-grand-belley;5,10;7,70;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Virieu-le-Grand – Belley;Enfant;Carte Famille Militaire;child-family-military;lyon-part-dieu|virieu-le-grand-belley;6,10;9,30;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Virieu-le-Grand – Belley;Enfant;Carte Familles Nombreuses (-30 %);child-famille-nombreuse-30;lyon-part-dieu|virieu-le-grand-belley;5,80;9,90;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Virieu-le-Grand – Belley;Enfant;Carte Familles Nombreuses (-40 %);child-famille-nombreuse-40;lyon-part-dieu|virieu-le-grand-belley;4,90;9,00;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Virieu-le-Grand – Belley;Enfant;Carte Familles Nombreuses (-50 %);child-famille-nombreuse-50;lyon-part-dieu|virieu-le-grand-belley;4,10;8,20;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Virieu-le-Grand – Belley;Enfant;Carte Familles Nombreuses (-75 %);child-famille-nombreuse-75;lyon-part-dieu|virieu-le-grand-belley;2,10;6,20;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Culoz;Adulte;Aucune — Plein tarif;adult-none;lyon-part-dieu|culoz;22,40;34,10;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Culoz;Adulte;illico LIBERTÉ — Semaine (-25 %);adult-illico-liberte-weekday;lyon-part-dieu|culoz;16,80;25,60;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Culoz;Adulte;illico LIBERTÉ — Week-end / Jour férié (-50 %);adult-illico-liberte-weekend;lyon-part-dieu|culoz;11,20;17,10;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Culoz;Adulte;illico LIBERTÉ — Accompagnant, Week-end / Jour férié (-50 %);adult-illico-liberte-weekend-companion;lyon-part-dieu|culoz;11,20;17,10;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Culoz;Adulte;illico LIBERTÉ JEUNES (-50 %);adult-illico-jeunes;lyon-part-dieu|culoz;11,20;17,10;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Culoz;Adulte;Carte Liberté SNCF (-25 %);adult-liberte-nationale;lyon-part-dieu|culoz;16,80;25,60;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Culoz;Adulte;Carte Familles Nombreuses (-30 %);adult-famille-nombreuse-30;lyon-part-dieu|culoz;12,70;21,80;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Culoz;Adulte;Carte Familles Nombreuses (-40 %);adult-famille-nombreuse-40;lyon-part-dieu|culoz;10,90;20,00;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Culoz;Adulte;Carte Familles Nombreuses (-50 %);adult-famille-nombreuse-50;lyon-part-dieu|culoz;9,10;18,20;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Culoz;Adulte;Carte Familles Nombreuses (-75 %);adult-famille-nombreuse-75;lyon-part-dieu|culoz;4,60;13,70;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Culoz;Adulte;Carte Militaire (-75 %);adult-military;lyon-part-dieu|culoz;5,60;8,60;TER Auvergne-Rhône-Alpes;2026-09-02;lu directement;"écart (ancienne 2de 4,60 ; ancienne 1re 13,70)"
Lyon Part-Dieu;Culoz;Adulte;Carte Famille Militaire (-40 %);adult-family-military;lyon-part-dieu|culoz;13,50;20,50;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Culoz;Enfant;Aucune — Tarif Enfant 4–11 ans;child-none;lyon-part-dieu|culoz;11,20;17,10;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Culoz;Enfant;illico LIBERTÉ — Accompagnant, Week-end / Jour férié;child-illico-liberte-weekend-companion;lyon-part-dieu|culoz;5,60;8,60;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Culoz;Enfant;Carte Famille Militaire;child-family-military;lyon-part-dieu|culoz;6,80;10,30;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Culoz;Enfant;Carte Familles Nombreuses (-30 %);child-famille-nombreuse-30;lyon-part-dieu|culoz;6,40;10,90;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Culoz;Enfant;Carte Familles Nombreuses (-40 %);child-famille-nombreuse-40;lyon-part-dieu|culoz;5,50;10,00;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Culoz;Enfant;Carte Familles Nombreuses (-50 %);child-famille-nombreuse-50;lyon-part-dieu|culoz;4,60;9,10;SNCF Connect;2026-09-02;lu directement;identique
Lyon Part-Dieu;Culoz;Enfant;Carte Familles Nombreuses (-75 %);child-famille-nombreuse-75;lyon-part-dieu|culoz;2,30;6,90;SNCF Connect;2026-09-02;lu directement;identique
